cluster_id,mood,valence,energy,acousticness,train_count,validation_count,test_count
0,Calm,0.16477087575766736,0.17288628805649586,0.887830790361578,33556,1873,1844
1,Happy,0.7648251296944428,0.7437912229751524,0.14607119371832136,40228,2202,2235
2,Mellow,0.6459642544874753,0.41853713603867704,0.7071585125752206,19450,1072,1092
3,Content,0.27013742453190703,0.5060771024073368,0.23610023881238054,26220,1533,1475
4,Energetic,0.396675663731088,0.8262015548888669,0.060106543001710366,30936,1675,1710
